
feature,importance
amount_log,0.15445184131142953
amount_distance_interaction,0.14591071247284093
avg_amount_ratio,0.14464164211212113
amount,0.1423114567512324
amount_percentile,0.13835947228544176
amount_time_interaction,0.11521797668880468
hour_of_day,0.0766373086224614
day_of_week,0.05263469754570914
is_weekend,0.009457643480367482
is_night,0.007986370465584453
unusual_hour,0.007596898554732153
high_amount_flag,0.004793979709275011
merchant_location,0.0
merchant_category,0.0
foreign_transaction,0.0
transaction_frequency,0.0
used_pin_number,0.0
online_order,0.0
used_chip,0.0
repeat_retailer,0.0
ratio_to_median_purchase,0.0
distance_from_last_transaction,0.0
distance_from_home,0.0
avg_amount_24h,0.0
previous_transactions_24h,0.0
customer_income,0.0
customer_age,0.0
card_type,0.0
