feature,importance
amount_log,0.15512419948858294
avg_amount_ratio,0.14474765364468867
amount_distance_interaction,0.14468139975212932
amount_percentile,0.14057186351066145
amount,0.14037830136382645
amount_time_interaction,0.11547447027249748
hour_of_day,0.07663432849541439
day_of_week,0.052623071417856535
is_weekend,0.00945764471327524
is_night,0.007905329961018174
unusual_hour,0.0076262458924246405
high_amount_flag,0.004775491487624736
ratio_to_median_purchase,0.0
distance_from_last_transaction,0.0
distance_from_home,0.0
avg_amount_24h,0.0
previous_transactions_24h,0.0
customer_income,0.0
customer_age,0.0
repeat_retailer,0.0
transaction_frequency,0.0
used_chip,0.0
used_pin_number,0.0
online_order,0.0
foreign_transaction,0.0
merchant_category,0.0
merchant_location,0.0
card_type,0.0
