
feature,importance
is_night,1033.0311279296875
hour_of_day,790.8887939453125
amount_percentile,87.87285614013672
distance_from_home,75.53328704833984
amount,68.19223022460938
amount_time_interaction,43.912620544433594
amount_distance_interaction,32.02104187011719
merchant_location,22.563772201538086
foreign_transaction,21.419818878173828
avg_amount_ratio,4.407392978668213
used_pin_number,4.24005651473999
online_order,3.532304525375366
day_of_week,3.364361524581909
merchant_category,2.726724147796631
previous_transactions_24h,2.654230833053589
customer_income,2.411742925643921
ratio_to_median_purchase,2.3770158290863037
customer_age,2.0342142581939697
distance_from_last_transaction,1.9421907663345337
avg_amount_24h,1.9104814529418945
used_chip,0.9652959704399109
