feature,importance
is_night,747.5662231445312
hour_of_day,437.3753967285156
distance_from_home,74.40437316894531
amount,57.493309020996094
amount_log,57.11765670776367
amount_time_interaction,32.57976150512695
foreign_transaction,24.590442657470703
merchant_location,18.525175094604492
amount_distance_interaction,6.093446254730225
transaction_frequency,5.933170318603516
online_order,4.893133163452148
merchant_category,3.0780587196350098
day_of_week,2.9861223697662354
used_pin_number,2.975388765335083
avg_amount_ratio,2.891725540161133
previous_transactions_24h,2.87092924118042
customer_income,2.8277368545532227
avg_amount_24h,2.6870226860046387
ratio_to_median_purchase,2.5065197944641113
customer_age,1.7661354541778564
distance_from_last_transaction,1.6327509880065918
